SMILES,C,H,N
[H]
[CH2],1,2,0
[CH3],1,3,0
[CH4],1,4,0
[CH],1,1,0
[C],1,0,0
[NH2],0,2,1
[NH3],0,3,1
[NH],0,1,1
[N],0,0,1
[CH2]=[CH2],2,4,0
[CH2]=[NH],1,3,1
[CH2]=[N],1,2,1
[CH2][CH2],2,4,0
[CH2][CH3],2,5,0
[CH2][NH2],1,4,1
[CH2][NH],1,3,1
[CH2][N],1,2,1
[CH3][CH3],2,6,0
[CH3][NH2],1,5,1
[CH3][NH],1,4,1
[CH3][N],1,3,1
[CH]#[CH],2,2,0
[CH]#[N],1,1,1
[CH]=[CH2],2,3,0
[CH]=[CH],2,2,0
[CH]=[NH],1,2,1
[CH]=[N],1,1,1
[CH][CH2],2,3,0
[CH][CH3],2,4,0
[CH][CH],2,2,0
[CH][NH2],1,3,1
[CH][NH],1,2,1
[CH][N],1,1,1
[C]#[CH],2,1,0
[C]#[C],2,0,0
[C]#[N],1,0,1
[C]=[CH2],2,2,0
[C]=[CH],2,1,0
[C]=[C],2,0,0
[C]=[NH],1,1,1
[C]=[N],1,0,1
[C][CH2],2,2,0
[C][CH3],2,3,0
[C][CH],2,1,0
[C][C],2,0,0
[C][NH2],1,2,1
[C][NH],1,1,1
[C][N],1,0,1
[NH2][NH2],0,4,2
[NH]=[NH],0,2,2
[NH][NH2],0,3,2
[NH][NH],0,2,2
[N]#[N],0,0,2
[N]=[NH],0,1,2
[N]=[N],0,0,2
[N][NH2],0,2,2
[N][NH],0,1,2
[N][N],0,0,2
[CH2]1[CH2][CH2]1,3,6,0
[CH2]1[CH2][NH]1,2,5,1
[CH2]1[CH2][N]1,2,4,1
[CH2]1[NH][NH]1,1,4,2
[CH2]1[N]=[N]1,1,2,2
[CH2]1[N][NH]1,1,3,2
[CH2]1[N][N]1,1,2,2
[CH2]=[CH][CH3],3,6,0
[CH2]=[CH][NH2],2,5,1
[CH2]=[CH][NH],2,4,1
[CH2]=[CH][N],2,3,1
[CH2]=[C]=[CH2],3,4,0
[CH2]=[C]=[NH],2,3,1
[CH2]=[C]=[N],2,2,1
[CH2]=[C][CH3],3,5,0
[CH2]=[C][NH2],2,4,1
[CH2]=[C][NH],2,3,1
[CH2]=[C][N],2,2,1
[CH2]=[N][CH3],2,5,1
[CH2]=[N][NH2],1,4,2
[CH2]=[N][NH],1,3,2
[CH2]=[N][N],1,2,2
[CH2][CH2][CH2],3,6,0
[CH2][CH2][CH3],3,7,0
[CH2][CH2][NH2],2,6,1
[CH2][CH2][NH],2,5,1
[CH2][CH2][N],2,4,1
[CH2][CH]=[CH2],3,5,0
[CH2][CH]=[NH],2,4,1
[CH2][CH]=[N],2,3,1
[CH2][CH][CH2],3,5,0
[CH2][CH][CH3],3,6,0
[CH2][CH][NH2],2,5,1
[CH2][CH][NH],2,4,1
[CH2][CH][N],2,3,1
[CH2][C]#[N],2,2,1
[CH2][C]=[CH2],3,4,0
[CH2][C]=[NH],2,3,1
[CH2][C]=[N],2,2,1
[CH2][C][CH2],3,4,0
[CH2][C][CH3],3,5,0
[CH2][C][NH2],2,4,1
[CH2][C][NH],2,3,1
[CH2][C][N],2,2,1
[CH2][NH][CH2],2,5,1
[CH2][NH][CH3],2,6,1
[CH2][NH][NH2],1,5,2
[CH2][NH][NH],1,4,2
[CH2][NH][N],1,3,2
[CH2][N]=[CH2],2,4,1
[CH2][N]=[NH],1,3,2
[CH2][N]=[N],1,2,2
[CH2][N][CH2],2,4,1
[CH2][N][CH3],2,5,1
[CH2][N][NH2],1,4,2
[CH2][N][NH],1,3,2
[CH2][N][N],1,2,2
[CH3][CH2][CH3],3,8,0
[CH3][CH2][NH2],2,7,1
[CH3][CH2][NH],2,6,1
[CH3][CH2][N],2,5,1
[CH3][CH]=[NH],2,5,1
[CH3][CH]=[N],2,4,1
[CH3][CH][CH3],3,7,0
[CH3][CH][NH2],2,6,1
[CH3][CH][NH],2,5,1
[CH3][CH][N],2,4,1
[CH3][C]#[N],2,3,1
[CH3][C]=[NH],2,4,1
[CH3][C]=[N],2,3,1
[CH3][C][CH3],3,6,0
[CH3][C][NH2],2,5,1
[CH3][C][NH],2,4,1
[CH3][C][N],2,3,1
[CH3][NH][CH3],2,7,1
[CH3][NH][NH2],1,6,2
[CH3][NH][NH],1,5,2
[CH3][NH][N],1,4,2
[CH3][N]=[NH],1,4,2
[CH3][N]=[N],1,3,2
[CH3][N][CH3],2,6,1
[CH3][N][NH2],1,5,2
[CH3][N][NH],1,4,2
[CH3][N][N],1,3,2
[CH]#[C][CH2],3,3,0
[CH]#[C][CH3],3,4,0
[CH]#[C][NH2],2,3,1
[CH]#[C][NH],2,2,1
[CH]#[C][N],2,1,1
[CH]1=[CH][CH2]1,3,4,0
[CH]1=[CH][NH]1,2,3,1
[CH]1=[CH][N]1,2,2,1
[CH]1=[N][CH2]1,2,3,1
[CH]1=[N][NH]1,1,2,2
[CH]1=[N][N]1,1,1,2
[CH]1[CH2][CH2]1,3,5,0
[CH]1[CH2][NH]1,2,4,1
[CH]1[CH2][N]1,2,3,1
[CH]1[CH]=[CH]1,3,3,0
[CH]1[CH]=[N]1,2,2,1
[CH]1[CH][CH2]1,3,4,0
[CH]1[CH][CH]1,3,3,0
[CH]1[CH][NH]1,2,3,1
[CH]1[CH][N]1,2,2,1
[CH]1[NH][NH]1,1,3,2
[CH]1[N]=[N]1,1,1,2
[CH]1[N][NH]1,1,2,2
[CH]1[N][N]1,1,1,2
[CH]=[CH][CH2],3,4,0
[CH]=[CH][CH3],3,5,0
[CH]=[CH][NH2],2,4,1
[CH]=[CH][NH],2,3,1
[CH]=[CH][N],2,2,1
[CH]=[C]=[CH2],3,3,0
[CH]=[C]=[CH],3,2,0
[CH]=[C]=[NH],2,2,1
[CH]=[C]=[N],2,1,1
[CH]=[C][CH2],3,3,0
[CH]=[C][CH3],3,4,0
[CH]=[C][NH2],2,3,1
[CH]=[C][NH],2,2,1
[CH]=[C][N],2,1,1
[CH]=[N][CH2],2,3,1
[CH]=[N][CH3],2,4,1
[CH]=[N][NH2],1,3,2
[CH]=[N][NH],1,2,2
[CH]=[N][N],1,1,2
[CH][CH2][CH2],3,5,0
[CH][CH2][CH3],3,6,0
[CH][CH2][CH],3,4,0
[CH][CH2][NH2],2,5,1
[CH][CH2][NH],2,4,1
[CH][CH2][N],2,3,1
[CH][CH]=[CH2],3,4,0
[CH][CH]=[CH],3,3,0
[CH][CH]=[NH],2,3,1
[CH][CH]=[N],2,2,1
[CH][CH][CH2],3,4,0
[CH][CH][CH3],3,5,0
[CH][CH][CH],3,3,0
[CH][CH][NH2],2,4,1
[CH][CH][NH],2,3,1
[CH][CH][N],2,2,1
[CH][C]#[CH],3,2,0
[CH][C]#[N],2,1,1
[CH][C]=[CH2],3,3,0
[CH][C]=[CH],3,2,0
[CH][C]=[NH],2,2,1
[CH][C]=[N],2,1,1
[CH][C][CH2],3,3,0
[CH][C][CH3],3,4,0
[CH][C][CH],3,2,0
[CH][C][NH2],2,3,1
[CH][C][NH],2,2,1
[CH][C][N],2,1,1
[CH][NH][CH2],2,4,1
[CH][NH][CH3],2,5,1
[CH][NH][CH],2,3,1
[CH][NH][NH2],1,4,2
[CH][NH][NH],1,3,2
[CH][NH][N],1,2,2
[CH][N]=[CH2],2,3,1
[CH][N]=[CH],2,2,1
[CH][N]=[NH],1,2,2
[CH][N]=[N],1,1,2
[CH][N][CH2],2,3,1
[CH][N][CH3],2,4,1
[CH][N][CH],2,2,1
[CH][N][NH2],1,3,2
[CH][N][NH],1,2,2
[CH][N][N],1,1,2
[C]#[C][CH2],3,2,0
[C]#[C][CH3],3,3,0
[C]#[C][CH],3,1,0
[C]#[C][NH2],2,2,1
[C]#[C][NH],2,1,1
[C]#[C][N],2,0,1
[C]1#[C][CH2]1,3,2,0
[C]1#[C][CH]1,3,1,0
[C]1#[C][NH]1,2,1,1
[C]1#[C][N]1,2,0,1
[C]1=[CH][CH2]1,3,3,0
[C]1=[CH][CH]1,3,2,0
[C]1=[CH][CH]=1,3,2,0
[C]1=[CH][NH]1,2,2,1
[C]1=[CH][N]1,2,1,1
[C]1=[CH][N]=1,2,1,1
[C]1=[C]=[CH]1,3,1,0
[C]1=[C]=[C]1,3,0,0
[C]1=[C]=[C]=1,3,0,0
[C]1=[C]=[N]1,2,0,1
[C]1=[C][CH2]1,3,2,0
[C]1=[C][CH]1,3,1,0
[C]1=[C][NH]1,2,1,1
[C]1=[C][N]1,2,0,1
[C]1=[N][CH2]1,2,2,1
[C]1=[N][CH]1,2,1,1
[C]1=[N][NH]1,1,1,2
[C]1=[N][N]1,1,0,2
[C]1=[N][N]=1,1,0,2
[C]1[CH2][CH2]1,3,4,0
[C]1[CH2][NH]1,2,3,1
[C]1[CH2][N]1,2,2,1
[C]1[CH]=[CH]1,3,2,0
[C]1[CH]=[N]1,2,1,1
[C]1[CH][CH2]1,3,3,0
[C]1[CH][CH]1,3,2,0
[C]1[CH][NH]1,2,2,1
[C]1[CH][N]1,2,1,1
[C]1[C]#[C]1,3,0,0
[C]1[C]=[CH]1,3,1,0
[C]1[C]=[C]1,3,0,0
[C]1[C]=[N]1,2,0,1
[C]1[C][CH2]1,3,2,0
[C]1[C][CH]1,3,1,0
[C]1[C][C]1,3,0,0
[C]1[C][NH]1,2,1,1
[C]1[C][N]1,2,0,1
[C]1[NH][NH]1,1,2,2
[C]1[N]=[N]1,1,0,2
[C]1[N][NH]1,1,1,2
[C]1[N][N]1,1,0,2
[C]=[CH][CH2],3,3,0
[C]=[CH][CH3],3,4,0
[C]=[CH][CH],3,2,0
[C]=[CH][NH2],2,3,1
[C]=[CH][NH],2,2,1
[C]=[CH][N],2,1,1
[C]=[C]=[CH2],3,2,0
[C]=[C]=[CH],3,1,0
[C]=[C]=[C],3,0,0
[C]=[C]=[NH],2,1,1
[C]=[C]=[N],2,0,1
[C]=[C][CH2],3,2,0
[C]=[C][CH3],3,3,0
[C]=[C][CH],3,1,0
[C]=[C][NH2],2,2,1
[C]=[C][NH],2,1,1
[C]=[C][N],2,0,1
[C]=[N][CH2],2,2,1
[C]=[N][CH3],2,3,1
[C]=[N][CH],2,1,1
[C]=[N][NH2],1,2,2
[C]=[N][NH],1,1,2
[C]=[N][N],1,0,2
[C][CH2][CH2],3,4,0
[C][CH2][CH3],3,5,0
[C][CH2][CH],3,3,0
[C][CH2][C],3,2,0
[C][CH2][NH2],2,4,1
[C][CH2][NH],2,3,1
[C][CH2][N],2,2,1
[C][CH]=[CH2],3,3,0
[C][CH]=[CH],3,2,0
[C][CH]=[C],3,1,0
[C][CH]=[NH],2,2,1
[C][CH]=[N],2,1,1
[C][CH][CH2],3,3,0
[C][CH][CH3],3,4,0
[C][CH][CH],3,2,0
[C][CH][C],3,1,0
[C][CH][NH2],2,3,1
[C][CH][NH],2,2,1
[C][CH][N],2,1,1
[C][C]#[CH],3,1,0
[C][C]#[C],3,0,0
[C][C]#[N],2,0,1
[C][C]=[CH2],3,2,0
[C][C]=[CH],3,1,0
[C][C]=[C],3,0,0
[C][C]=[NH],2,1,1
[C][C]=[N],2,0,1
[C][C][CH2],3,2,0
[C][C][CH3],3,3,0
[C][C][CH],3,1,0
[C][C][C],3,0,0
[C][C][NH2],2,2,1
[C][C][NH],2,1,1
[C][C][N],2,0,1
[C][NH][CH2],2,3,1
[C][NH][CH3],2,4,1
[C][NH][CH],2,2,1
[C][NH][C],2,1,1
[C][NH][NH2],1,3,2
[C][NH][NH],1,2,2
[C][NH][N],1,1,2
[C][N]=[CH2],2,2,1
[C][N]=[CH],2,1,1
[C][N]=[C],2,0,1
[C][N]=[NH],1,1,2
[C][N]=[N],1,0,2
[C][N][CH2],2,2,1
[C][N][CH3],2,3,1
[C][N][CH],2,1,1
[C][N][C],2,0,1
[C][N][NH2],1,2,2
[C][N][NH],1,1,2
[C][N][N],1,0,2
[NH2][CH2][NH2],1,6,2
[NH2][CH][NH2],1,5,2
[NH2][C][NH2],1,4,2
[NH2][NH][NH2],0,5,3
[NH2][N][NH2],0,4,3
[NH]=[CH][NH2],1,4,2
[NH]=[C]=[NH],1,2,2
[NH]=[C][NH2],1,3,2
[NH]=[N][NH2],0,3,3
[NH][CH2][NH2],1,5,2
[NH][CH2][NH],1,4,2
[NH][CH]=[NH],1,3,2
[NH][CH][NH2],1,4,2
[NH][CH][NH],1,3,2
[NH][C]=[NH],1,2,2
[NH][C][NH2],1,3,2
[NH][C][NH],1,2,2
[NH][NH][NH2],0,4,3
[NH][NH][NH],0,3,3
[NH][N]=[NH],0,2,3
[NH][N][NH2],0,3,3
[NH][N][NH],0,2,3
[N]#[C][NH2],1,2,2
[N]#[C][NH],1,1,2
[N]1=[N][NH]1,0,1,3
[N]1[NH][NH]1,0,2,3
[N]1[N]=[N]1,0,0,3
[N]1[N][NH]1,0,1,3
[N]1[N][N]1,0,0,3
[N]=[CH][NH2],1,3,2
[N]=[CH][NH],1,2,2
[N]=[C]=[NH],1,1,2
[N]=[C]=[N],1,0,2
[N]=[C][NH2],1,2,2
[N]=[C][NH],1,1,2
[N]=[N][NH2],0,2,3
[N]=[N][NH],0,1,3
[N][CH2][NH2],1,4,2
[N][CH2][NH],1,3,2
[N][CH2][N],1,2,2
[N][CH]=[NH],1,2,2
[N][CH]=[N],1,1,2
[N][CH][NH2],1,3,2
[N][CH][NH],1,2,2
[N][CH][N],1,1,2
[N][C]#[N],1,0,2
[N][C]=[NH],1,1,2
[N][C]=[N],1,0,2
[N][C][NH2],1,2,2
[N][C][NH],1,1,2
[N][C][N],1,0,2
[N][NH][NH2],0,3,3
[N][NH][NH],0,2,3
[N][NH][N],0,1,3
[N][N]=[NH],0,1,3
[N][N]=[N],0,0,3
[N][N][NH2],0,2,3
[N][N][NH],0,1,3
[N][N][N],0,0,3
[nH]1[nH][nH]1,0,3,3
[CH2]1[CH2][CH2][CH2]1,4,8,0
[CH2]1[CH2][NH][CH2]1,3,7,1
[CH2]1[CH2][NH][NH]1,2,6,2
[CH2]1[CH2][NH][N]1,2,5,2
[CH2]1[CH2][N]=[N]1,2,4,2
[CH2]1[CH2][N][CH2]1,3,6,1
[CH2]1[CH2][N][N]1,2,4,2
[CH2]1[CH]2[CH2][CH]12,4,6,0
[CH2]1[CH]2[CH2][N]12,3,5,1
[CH2]1[CH]2[NH][CH]12,3,5,1
[CH2]1[CH]2[NH][N]12,2,4,2
[CH2]1[CH]2[N][CH]12,3,4,1
[CH2]1[CH]2[N][N]12,2,3,2
[CH2]1[C]2=[C]1[CH2]2,4,4,0
[CH2]1[C]2=[C]1[NH]2,3,3,1
[CH2]1[C]2=[C]1[N]2,3,2,1
[CH2]1[C]2=[N][CH]12,3,3,1
[CH2]1[C]2=[N][N]12,2,2,2
[CH2]1[C]2[CH2][CH]12,4,5,0
[CH2]1[C]2[CH2][C]12,4,4,0
[CH2]1[C]2[CH2][N]12,3,4,1
[CH2]1[C]2[NH][CH]12,3,4,1
[CH2]1[C]2[NH][C]12,3,3,1
[CH2]1[C]2[NH][N]12,2,3,2
[CH2]1[C]2[N]=[C]12,3,2,1
[CH2]1[C]2[N][CH]12,3,3,1
[CH2]1[C]2[N][C]12,3,2,1
[CH2]1[C]2[N][N]12,2,2,2
[CH2]1[NH][CH2][NH]1,2,6,2
[CH2]1[NH][NH][NH]1,1,5,3
[CH2]1[NH][N][NH]1,1,4,3
[CH2]1[N]2[CH2][N]12,2,4,2
[CH2]1[N]2[N][N]12,1,2,3
[CH2]1[N]=[N][NH]1,1,3,3
[CH2]1[N][CH2][NH]1,2,5,2
[CH2]1[N][CH2][N]1,2,4,2
[CH2]1[N][NH][NH]1,1,4,3
[CH2]1[N][NH][N]1,1,3,3
[CH2]1[N][N]=[N]1,1,2,3
[CH2]1[N][N][NH]1,1,3,3
[CH2]1[N][N][N]1,1,2,3
[CH2]1[n]2[nH][n]21,1,3,3
[CH2]=[CH][CH2][CH3],4,8,0
[CH2]=[CH][CH2][NH2],3,7,1
[CH2]=[CH][CH2][NH],3,6,1
[CH2]=[CH][CH2][N],3,5,1
[CH2]=[CH][CH]=[CH2],4,6,0
[CH2]=[CH][CH]=[NH],3,5,1
[CH2]=[CH][CH]=[N],3,4,1
[CH2]=[CH][CH][CH3],4,7,0
[CH2]=[CH][CH][NH2],3,6,1
[CH2]=[CH][CH][NH],3,5,1
[CH2]=[CH][CH][N],3,4,1
[CH2]=[CH][C]#[N],3,3,1
[CH2]=[CH][C]=[NH],3,4,1
[CH2]=[CH][C]=[N],3,3,1
[CH2]=[CH][C][CH3],4,6,0
[CH2]=[CH][C][NH2],3,5,1
[CH2]=[CH][C][NH],3,4,1
[CH2]=[CH][C][N],3,3,1
[CH2]=[CH][NH][CH3],3,7,1
[CH2]=[CH][NH][NH2],2,6,2
[CH2]=[CH][NH][NH],2,5,2
[CH2]=[CH][NH][N],2,4,2
[CH2]=[CH][N]=[CH2],3,5,1
[CH2]=[CH][N]=[NH],2,4,2
[CH2]=[CH][N]=[N],2,3,2
[CH2]=[CH][N][CH3],3,6,1
[CH2]=[CH][N][NH2],2,5,2
[CH2]=[CH][N][NH],2,4,2
[CH2]=[CH][N][N],2,3,2
[CH2]=[C]([CH3])[CH3],4,8,0
[CH2]=[C]([CH3])[NH2],3,7,1
[CH2]=[C]([CH3])[NH],3,6,1
[CH2]=[C]([CH3])[N],3,5,1
[CH2]=[C]([NH2])[NH2],2,6,2
[CH2]=[C]([NH])[NH2],2,5,2
[CH2]=[C]([NH])[NH],2,4,2
[CH2]=[C]([N])[NH2],2,4,2
[CH2]=[C]([N])[NH],2,3,2
[CH2]=[C]([N])[N],2,2,2
[CH2]=[C]1[CH2][CH2]1,4,6,0
[CH2]=[C]1[CH2][NH]1,3,5,1
[CH2]=[C]1[CH2][N]1,3,4,1
[CH2]=[C]1[CH]=[CH]1,4,4,0
[CH2]=[C]1[CH]=[N]1,3,3,1
[CH2]=[C]1[CH][CH2]1,4,5,0
[CH2]=[C]1[CH][CH]1,4,4,0
[CH2]=[C]1[CH][NH]1,3,4,1
[CH2]=[C]1[CH][N]1,3,3,1
[CH2]=[C]1[C]#[C]1,4,2,0
[CH2]=[C]1[C]=[CH]1,4,3,0
[CH2]=[C]1[C]=[C]1,4,2,0
[CH2]=[C]1[C]=[N]1,3,2,1
[CH2]=[C]1[C][CH2]1,4,4,0
[CH2]=[C]1[C][CH]1,4,3,0
[CH2]=[C]1[C][C]1,4,2,0
[CH2]=[C]1[C][NH]1,3,3,1
[CH2]=[C]1[C][N]1,3,2,1
[CH2]=[C]1[NH][NH]1,2,4,2
[CH2]=[C]1[N]=[N]1,2,2,2
[CH2]=[C]1[N][NH]1,2,3,2
[CH2]=[C]1[N][N]1,2,2,2
[CH2]=[C]=[CH][CH3],4,6,0
[CH2]=[C]=[CH][NH2],3,5,1
[CH2]=[C]=[CH][NH],3,4,1
[CH2]=[C]=[CH][N],3,3,1
[CH2]=[C]=[C]=[CH2],4,4,0
[CH2]=[C]=[C]=[NH],3,3,1
[CH2]=[C]=[C]=[N],3,2,1
[CH2]=[C]=[C][CH3],4,5,0
[CH2]=[C]=[C][NH2],3,4,1
[CH2]=[C]=[C][NH],3,3,1
[CH2]=[C]=[C][N],3,2,1
[CH2]=[C]=[N][CH3],3,5,1
[CH2]=[C]=[N][NH2],2,4,2
[CH2]=[C]=[N][NH],2,3,2
[CH2]=[C]=[N][N],2,2,2
[CH2]=[C][CH2][CH3],4,7,0
[CH2]=[C][CH2][NH2],3,6,1
[CH2]=[C][CH2][NH],3,5,1
[CH2]=[C][CH2][N],3,4,1
[CH2]=[C][CH]=[CH2],4,5,0
[CH2]=[C][CH]=[NH],3,4,1
[CH2]=[C][CH]=[N],3,3,1
[CH2]=[C][CH][CH3],4,6,0
[CH2]=[C][CH][NH2],3,5,1
[CH2]=[C][CH][NH],3,4,1
[CH2]=[C][CH][N],3,3,1
[CH2]=[C][C]#[N],3,2,1
[CH2]=[C][C]=[CH2],4,4,0
[CH2]=[C][C]=[NH],3,3,1
[CH2]=[C][C]=[N],3,2,1
[CH2]=[C][C][CH3],4,5,0
[CH2]=[C][C][NH2],3,4,1
[CH2]=[C][C][NH],3,3,1
[CH2]=[C][C][N],3,2,1
[CH2]=[C][NH][CH3],3,6,1
[CH2]=[C][NH][NH2],2,5,2
[CH2]=[C][NH][NH],2,4,2
[CH2]=[C][NH][N],2,3,2
[CH2]=[C][N]=[CH2],3,4,1
[CH2]=[C][N]=[NH],2,3,2
[CH2]=[C][N]=[N],2,2,2
[CH2]=[C][N][CH3],3,5,1
[CH2]=[C][N][NH2],2,4,2
[CH2]=[C][N][NH],2,3,2
[CH2]=[C][N][N],2,2,2
[CH2]=[N][CH2][CH3],3,7,1
[CH2]=[N][CH2][NH2],2,6,2
[CH2]=[N][CH2][NH],2,5,2
[CH2]=[N][CH2][N],2,4,2
[CH2]=[N][CH]=[NH],2,4,2
[CH2]=[N][CH]=[N],2,3,2
[CH2]=[N][CH][CH3],3,6,1
[CH2]=[N][CH][NH2],2,5,2
[CH2]=[N][CH][NH],2,4,2
[CH2]=[N][CH][N],2,3,2
[CH2]=[N][C]#[N],2,2,2
[CH2]=[N][C]=[NH],2,3,2
[CH2]=[N][C]=[N],2,2,2
[CH2]=[N][C][CH3],3,5,1
[CH2]=[N][C][NH2],2,4,2
[CH2]=[N][C][NH],2,3,2
[CH2]=[N][C][N],2,2,2
[CH2]=[N][NH][CH3],2,6,2
[CH2]=[N][NH][NH2],1,5,3
[CH2]=[N][NH][NH],1,4,3
[CH2]=[N][NH][N],1,3,3
[CH2]=[N][N]=[CH2],2,4,2
[CH2]=[N][N]=[NH],1,3,3
[CH2]=[N][N]=[N],1,2,3
[CH2]=[N][N][CH3],2,5,2
[CH2]=[N][N][NH2],1,4,3
[CH2]=[N][N][NH],1,3,3
[CH2]=[N][N][N],1,2,3
[CH2][CH2][CH2][CH2],4,8,0
[CH2][CH2][CH2][CH3],4,9,0
[CH2][CH2][CH2][NH2],3,8,1
[CH2][CH2][CH2][NH],3,7,1
[CH2][CH2][CH2][N],3,6,1
[CH2][CH2][CH]=[CH2],4,7,0
[CH2][CH2][CH]=[NH],3,6,1
[CH2][CH2][CH]=[N],3,5,1
[CH2][CH2][CH][CH3],4,8,0
[CH2][CH2][CH][NH2],3,7,1
[CH2][CH2][CH][NH],3,6,1
[CH2][CH2][CH][N],3,5,1
[CH2][CH2][C]#[N],3,4,1
[CH2][CH2][C]=[CH2],4,6,0
[CH2][CH2][C]=[NH],3,5,1
[CH2][CH2][C]=[N],3,4,1
[CH2][CH2][C][CH3],4,7,0
[CH2][CH2][C][NH2],3,6,1
[CH2][CH2][C][NH],3,5,1
[CH2][CH2][C][N],3,4,1
[CH2][CH2][NH][CH2],3,7,1
[CH2][CH2][NH][CH3],3,8,1
[CH2][CH2][NH][NH2],2,7,2
[CH2][CH2][NH][NH],2,6,2
[CH2][CH2][NH][N],2,5,2
[CH2][CH2][N]=[CH2],3,6,1
[CH2][CH2][N]=[NH],2,5,2
[CH2][CH2][N]=[N],2,4,2
[CH2][CH2][N][CH2],3,6,1
[CH2][CH2][N][CH3],3,7,1
[CH2][CH2][N][NH2],2,6,2
[CH2][CH2][N][NH],2,5,2
[CH2][CH2][N][N],2,4,2
[CH2][CH]([CH2])[CH2],4,7,0
[CH2][CH]([CH2])[CH3],4,8,0
[CH2][CH]([CH2])[NH2],3,7,1
[CH2][CH]([CH2])[NH],3,6,1
[CH2][CH]([CH2])[N],3,5,1
[CH2][CH]([CH3])[CH3],4,9,0
[CH2][CH]([CH3])[NH2],3,8,1
[CH2][CH]([CH3])[NH],3,7,1
[CH2][CH]([CH3])[N],3,6,1
[CH2][CH]([NH2])[NH2],2,7,2
[CH2][CH]([NH])[NH2],2,6,2
[CH2][CH]([NH])[NH],2,5,2
[CH2][CH]([N])[NH2],2,5,2
[CH2][CH]([N])[NH],2,4,2
[CH2][CH]([N])[N],2,3,2
[CH2][CH]1[CH2][CH2]1,4,7,0
[CH2][CH]1[CH2][NH]1,3,6,1
[CH2][CH]1[CH2][N]1,3,5,1
[CH2][CH]1[CH]=[CH]1,4,5,0
[CH2][CH]1[CH]=[N]1,3,4,1
[CH2][CH]1[CH][CH2]1,4,6,0
[CH2][CH]1[CH][CH]1,4,5,0
[CH2][CH]1[CH][NH]1,3,5,1
[CH2][CH]1[CH][N]1,3,4,1
[CH2][CH]1[C]#[C]1,4,3,0
[CH2][CH]1[C]=[CH]1,4,4,0
[CH2][CH]1[C]=[C]1,4,3,0
[CH2][CH]1[C]=[N]1,3,3,1
[CH2][CH]1[C][CH2]1,4,5,0
[CH2][CH]1[C][CH]1,4,4,0
[CH2][CH]1[C][C]1,4,3,0
[CH2][CH]1[C][NH]1,3,4,1
[CH2][CH]1[C][N]1,3,3,1
[CH2][CH]1[NH][NH]1,2,5,2
[CH2][CH]1[N]=[N]1,2,3,2
[CH2][CH]1[N][NH]1,2,4,2
[CH2][CH]1[N][N]1,2,3,2
[CH2][CH]=[CH][CH2],4,6,0
[CH2][CH]=[CH][CH3],4,7,0
[CH2][CH]=[CH][NH2],3,6,1
[CH2][CH]=[CH][NH],3,5,1
[CH2][CH]=[CH][N],3,4,1
[CH2][CH]=[C]=[CH2],4,5,0
[CH2][CH]=[C]=[NH],3,4,1
[CH2][CH]=[C]=[N],3,3,1
[CH2][CH]=[C][CH3],4,6,0
[CH2][CH]=[C][NH2],3,5,1
[CH2][CH]=[C][NH],3,4,1
[CH2][CH]=[C][N],3,3,1
[CH2][CH]=[N][CH2],3,5,1
[CH2][CH]=[N][CH3],3,6,1
[CH2][CH]=[N][NH2],2,5,2
[CH2][CH]=[N][NH],2,4,2
[CH2][CH]=[N][N],2,3,2
[CH2][CH][CH2][CH2],4,7,0
[CH2][CH][CH2][CH3],4,8,0
[CH2][CH][CH2][NH2],3,7,1
[CH2][CH][CH2][NH],3,6,1
[CH2][CH][CH2][N],3,5,1
[CH2][CH][CH]=[CH2],4,6,0
[CH2][CH][CH]=[NH],3,5,1
[CH2][CH][CH]=[N],3,4,1
[CH2][CH][CH][CH2],4,6,0
[CH2][CH][CH][CH3],4,7,0
[CH2][CH][CH][NH2],3,6,1
[CH2][CH][CH][NH],3,5,1
[CH2][CH][CH][N],3,4,1
[CH2][CH][C]#[N],3,3,1
[CH2][CH][C]=[CH2],4,5,0
[CH2][CH][C]=[NH],3,4,1
[CH2][CH][C]=[N],3,3,1
[CH2][CH][C][CH3],4,6,0
[CH2][CH][C][NH2],3,5,1
[CH2][CH][C][NH],3,4,1
[CH2][CH][C][N],3,3,1
[CH2][CH][NH][CH2],3,6,1
[CH2][CH][NH][CH3],3,7,1
[CH2][CH][NH][NH2],2,6,2
[CH2][CH][NH][NH],2,5,2
[CH2][CH][NH][N],2,4,2
[CH2][CH][N]=[CH2],3,5,1
[CH2][CH][N]=[NH],2,4,2
[CH2][CH][N]=[N],2,3,2
[CH2][CH][N][CH2],3,5,1
[CH2][CH][N][CH3],3,6,1
[CH2][CH][N][NH2],2,5,2
[CH2][CH][N][NH],2,4,2
[CH2][CH][N][N],2,3,2
[CH2][C]#[C][CH2],4,4,0
[CH2][C]#[C][CH3],4,5,0
[CH2][C]#[C][NH2],3,4,1
[CH2][C]#[C][NH],3,3,1
[CH2][C]#[C][N],3,2,1
[CH2][C](=[CH2])[CH3],4,7,0
[CH2][C](=[CH2])[NH2],3,6,1
[CH2][C](=[CH2])[NH],3,5,1
[CH2][C](=[CH2])[N],3,4,1
[CH2][C](=[NH])[NH2],2,5,2
[CH2][C](=[N])[NH2],2,4,2
[CH2][C](=[N])[NH],2,3,2
[CH2][C]([CH2])=[CH2],4,6,0
[CH2][C]([CH2])=[NH],3,5,1
